#QTLName	Parent_1	Parent_2	TraitName	Journal	Year	Volume	Page	Title
Lodging 5-3	Young	PI416937	Lodging	Crop Science	1996	36	728-735	Molecular markers associated with soybean plant height, lodging, and maturity across locations.
Lodging 5-4	Young	PI416937	Lodging	Crop Science	1996	36	728-735	Molecular markers associated with soybean plant height, lodging, and maturity across locations.
Lodging 5-5	Young	PI416937	Lodging	Crop Science	1996	36	728-735	Molecular markers associated with soybean plant height, lodging, and maturity across locations.
Lodging 5-6	Young	PI416937	Lodging	Crop Science	1996	36	728-735	Molecular markers associated with soybean plant height, lodging, and maturity across locations.
Lodging 5-7	Young	PI416937	Lodging	Crop Science	1996	36	728-735	Molecular markers associated with soybean plant height, lodging, and maturity across locations.
Lodging 5-8	Young	PI416937	Lodging	Crop Science	1996	36	728-735	Molecular markers associated with soybean plant height, lodging, and maturity across locations.
Lodging 5-9	Young	PI416937	Lodging	Crop Science	1996	36	728-735	Molecular markers associated with soybean plant height, lodging, and maturity across locations.
Lodging 6-1	Minsoy	Archer	Lodging	Crop Science	1999	39	1642-1651	Genetics of soybean agronomic traits: I. Comparison of three related recombinant inbred populations
Lodging 6-2	Minsoy	Archer	Lodging	Crop Science	1999	39	1642-1651	Genetics of soybean agronomic traits: I. Comparison of three related recombinant inbred populations
Lodging 7-1	Noir 1	Archer	Lodging	Crop Science	1999	39	1642-1651	Genetics of soybean agronomic traits: I. Comparison of three related recombinant inbred populations
Lodging 8-1	Minsoy	Noir 1	Lodging	Crop Science	1999	39	1642-1651	Genetics of soybean agronomic traits: I. Comparison of three related recombinant inbred populations
Lodging 8-2	Minsoy	Noir 1	Lodging	Crop Science	1999	39	1642-1651	Genetics of soybean agronomic traits: I. Comparison of three related recombinant inbred populations
Lodging 8-3	Minsoy	Noir 1	Lodging	Crop Science	1999	39	1642-1651	Genetics of soybean agronomic traits: I. Comparison of three related recombinant inbred populations
Lodging 8-4	Minsoy	Noir 1	Lodging	Crop Science	1999	39	1642-1651	Genetics of soybean agronomic traits: I. Comparison of three related recombinant inbred populations
Lodging 9-1	Minsoy	Noir 1	Lodging	Crop Science	2001	41	493-509	Soybean Response to Water:A QTL Analysis of Drought Tolerance
Lodging 9-2	Minsoy	Noir 1	Lodging	Crop Science	2001	41	493-509	Soybean Response to Water:A QTL Analysis of Drought Tolerance
Lodging 9-3	Minsoy	Noir 1	Lodging	Crop Science	2001	41	493-509	Soybean Response to Water:A QTL Analysis of Drought Tolerance
Lodging 9-4	Minsoy	Noir 1	Lodging	Crop Science	2001	41	493-509	Soybean Response to Water:A QTL Analysis of Drought Tolerance
Lodging 9-5	Minsoy	Noir 1	Lodging	Crop Science	2001	41	493-509	Soybean Response to Water:A QTL Analysis of Drought Tolerance
mqCanopy wilt-001			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-002			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-003			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-005			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-006			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-007			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-008			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-009			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-010			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-011			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-012			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-013			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-014			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-015			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-016			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-017			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-018			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-019			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-020			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-021			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-022			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-023			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-024			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-025			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-026			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqCanopy wilt-027			Canopy wilt	Molecular Breeding				Meta-analysis to refine map position and reduce confidence intervals for delayed-canopy-wilting QTLs in soybean
mqPlant height-001			Plant Height	Crop Science Society of America				Genetic Mapping and Confirmation of Quantitative Trait Loci for Seed Protein and Oil Contents and Seed Weight in Soybean
mqPlant height-002			Plant Height	Crop Science Society of America				Genetic Mapping and Confirmation of Quantitative Trait Loci for Seed Protein and Oil Contents and Seed Weight in Soybean
mqPlant height-003			Plant Height	Crop Science Society of America				Genetic Mapping and Confirmation of Quantitative Trait Loci for Seed Protein and Oil Contents and Seed Weight in Soybean
mqPlant height-004			Plant Height	Crop Science Society of America				Genetic Mapping and Confirmation of Quantitative Trait Loci for Seed Protein and Oil Contents and Seed Weight in Soybean
mqPlant height-005			Plant Height	Crop Science Society of America				Genetic Mapping and Confirmation of Quantitative Trait Loci for Seed Protein and Oil Contents and Seed Weight in Soybean
mqPlant height-006			Plant Height	Crop Science Society of America				Genetic Mapping and Confirmation of Quantitative Trait Loci for Seed Protein and Oil Contents and Seed Weight in Soybean
mqPlant height-007			Plant Height	Crop Science Society of America				Genetic Mapping and Confirmation of Quantitative Trait Loci for Seed Protein and Oil Contents and Seed Weight in Soybean
mqPlant height-008			Plant Height	Crop Science Society of America				Genetic Mapping and Confirmation of Quantitative Trait Loci for Seed Protein and Oil Contents and Seed Weight in Soybean
mqPlant height-009			Plant Height	Crop Science Society of America				Genetic Mapping and Confirmation of Quantitative Trait Loci for Seed Protein and Oil Contents and Seed Weight in Soybean
mqPlant height-010			Plant Height	Crop Science Society of America				Genetic Mapping and Confirmation of Quantitative Trait Loci for Seed Protein and Oil Contents and Seed Weight in Soybean
mqPlant height-011			Plant Height	Crop Science Society of America				Genetic Mapping and Confirmation of Quantitative Trait Loci for Seed Protein and Oil Contents and Seed Weight in Soybean
mqPlant height-012			Plant Height	Crop Science Society of America				Genetic Mapping and Confirmation of Quantitative Trait Loci for Seed Protein and Oil Contents and Seed Weight in Soybean
mqSeed Oil-001			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-002			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-003			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-004			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-005			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-006			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-007			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-009			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-010			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-011			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-012			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-013			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-014			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-015			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-016			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-017			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-018			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-019			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-020			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-021			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-022			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-023			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-024			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
mqSeed Oil-025			Seed oil content	Euphytica				An Integrated Quantitative Trait Locus Map of Oil Content in Soybean, Glycine max (L.) Merr., Generated Using a Meta-Analysis Method for Mining Genes
Necrosis, root Mn induced 1-1	Essex	Forrest	Manganese induced root necrosis	Plant and Soil	2004	260	197-204	Loci underlying resistance to manganese toxicity mapped in a soybean recombinant inbred line population of 'Essex' x 'Forrest'
Necrosis, root Mn induced 1-2	Essex	Forrest	Manganese induced root necrosis	Plant and Soil	2004	260	197-204	Loci underlying resistance to manganese toxicity mapped in a soybean recombinant inbred line population of 'Essex' x 'Forrest'
Necrosis, root Mn induced 1-3	Essex	Forrest	Manganese induced root necrosis	Plant and Soil	2004	260	197-204	Loci underlying resistance to manganese toxicity mapped in a soybean recombinant inbred line population of 'Essex' x 'Forrest'
Necrosis, root Mn induced 1-4	Essex	Forrest	Manganese induced root necrosis	Plant and Soil	2004	260	197-204	Loci underlying resistance to manganese toxicity mapped in a soybean recombinant inbred line population of 'Essex' x 'Forrest'
Net photosyn rate 1-1	BARC-8	Garimpo	Net photosynthetic rate					Use of the QTL approach to the study of soybean trait relationships in two populations of recombinant inbred lines at the F7 and F8 generations
Net photosyn rate 2-1	BARC-8	Garimpo	Net photosynthetic rate					Use of the QTL approach to the study of soybean trait relationships in two populations of recombinant inbred lines at the F7 and F8 generations
Node number 1-1	Kefeng No. 1	1138-2	Root nodule number					A comparative study on segregation analysis and QTL mapping of quantitative traits in plants-with a case in soybean
Node number 1-10	Kefeng No. 1	1138-2	Root nodule number					A comparative study on segregation analysis and QTL mapping of quantitative traits in plants-with a case in soybean
Node number 1-11	Kefeng No. 1	1138-2	Root nodule number					A comparative study on segregation analysis and QTL mapping of quantitative traits in plants-with a case in soybean
Node number 1-12	Kefeng No. 1	1138-2	Root nodule number					A comparative study on segregation analysis and QTL mapping of quantitative traits in plants-with a case in soybean
Node number 1-13	Kefeng No. 1	1138-2	Root nodule number					A comparative study on segregation analysis and QTL mapping of quantitative traits in plants-with a case in soybean
Node number 1-2	Kefeng No. 1	1138-2	Root nodule number					A comparative study on segregation analysis and QTL mapping of quantitative traits in plants-with a case in soybean
Node number 1-3	Kefeng No. 1	1138-2	Root nodule number					A comparative study on segregation analysis and QTL mapping of quantitative traits in plants-with a case in soybean
Node number 1-4	Kefeng No. 1	1138-2	Root nodule number					A comparative study on segregation analysis and QTL mapping of quantitative traits in plants-with a case in soybean
Node number 1-5	Kefeng No. 1	1138-2	Root nodule number					A comparative study on segregation analysis and QTL mapping of quantitative traits in plants-with a case in soybean
Node number 1-6	Kefeng No. 1	1138-2	Root nodule number					A comparative study on segregation analysis and QTL mapping of quantitative traits in plants-with a case in soybean
Node number 1-7	Kefeng No. 1	1138-2	Root nodule number					A comparative study on segregation analysis and QTL mapping of quantitative traits in plants-with a case in soybean
Node number 1-8	Kefeng No. 1	1138-2	Root nodule number					A comparative study on segregation analysis and QTL mapping of quantitative traits in plants-with a case in soybean
Node number 1-9	Kefeng No. 1	1138-2	Root nodule number					A comparative study on segregation analysis and QTL mapping of quantitative traits in plants-with a case in soybean
Node number 2-1	Kefeng No. 1	Nannong 1138-2	Root nodule number					QTL mapping of ten agronomic traits on the soybean (Glycine max L. Merr) genetic map and their association with EST markers
Node number 2-10	Kefeng No. 1	Nannong 1138-2	Root nodule number					QTL mapping of ten agronomic traits on the soybean (Glycine max L. Merr) genetic map and their association with EST markers
Node number 2-2	Kefeng No. 1	Nannong 1138-2	Root nodule number					QTL mapping of ten agronomic traits on the soybean (Glycine max L. Merr) genetic map and their association with EST markers
Node number 2-3	Kefeng No. 1	Nannong 1138-2	Root nodule number					QTL mapping of ten agronomic traits on the soybean (Glycine max L. Merr) genetic map and their association with EST markers
Node number 2-4	Kefeng No. 1	Nannong 1138-2	Root nodule number					QTL mapping of ten agronomic traits on the soybean (Glycine max L. Merr) genetic map and their association with EST markers
Node number 2-5	Kefeng No. 1	Nannong 1138-2	Root nodule number					QTL mapping of ten agronomic traits on the soybean (Glycine max L. Merr) genetic map and their association with EST markers
Node number 2-6	Kefeng No. 1	Nannong 1138-2	Root nodule number					QTL mapping of ten agronomic traits on the soybean (Glycine max L. Merr) genetic map and their association with EST markers
Node number 2-7	Kefeng No. 1	Nannong 1138-2	Root nodule number					QTL mapping of ten agronomic traits on the soybean (Glycine max L. Merr) genetic map and their association with EST markers
Node number 2-8	Kefeng No. 1	Nannong 1138-2	Root nodule number					QTL mapping of ten agronomic traits on the soybean (Glycine max L. Merr) genetic map and their association with EST markers
Node number 2-9	Kefeng No. 1	Nannong 1138-2	Root nodule number					QTL mapping of ten agronomic traits on the soybean (Glycine max L. Merr) genetic map and their association with EST markers
Node number 3-1	Charleston	Dongnong 594	Root nodule number		2007	6	399-405	QTL Analysis of Major Agronomic Traits in Soybean
Node number 3-2	Charleston	Dongnong 594	Root nodule number		2007	6	399-405	QTL Analysis of Major Agronomic Traits in Soybean
Node number 3-3	Charleston	Dongnong 594	Root nodule number		2007	6	399-405	QTL Analysis of Major Agronomic Traits in Soybean
Node number 3-4	Charleston	Dongnong 594	Root nodule number		2007	6	399-405	QTL Analysis of Major Agronomic Traits in Soybean
Node number 3-5	Charleston	Dongnong 594	Root nodule number		2007	6	399-405	QTL Analysis of Major Agronomic Traits in Soybean
Node number 3-6	Charleston	Dongnong 594	Root nodule number		2007	6	399-405	QTL Analysis of Major Agronomic Traits in Soybean
Node number 3-7	Charleston	Dongnong 594	Root nodule number		2007	6	399-405	QTL Analysis of Major Agronomic Traits in Soybean
Node number 4-1	Jinpumkong 2	SS2-2	Root nodule number					QTL Identification of Yield-Related Traits and their Association with Flowering and Maturity in Soybean
Node number 4-2	Jinpumkong 2	SS2-2	Root nodule number					QTL Identification of Yield-Related Traits and their Association with Flowering and Maturity in Soybean
Node number 5-1	Pak Chong 2	Laos 7122	Root nodule number					SSR Markers Linking to Seed Traits and Total Oil Content in Soybean
Node number 6-1	Jiyu 50	Jinong 18	Root nodule number	Genetics and Molecular Research				Analysis of quantitative trait loci for main plant traits in soybean
Node number 7-1	Hefeng 25	Maple Arrow	Root nodule number	Euphytica				Identification of QTL underlying soluble pigment content in soybean stems related to resistance to soybean white mold (Sclerotinia sclerotiorum)
Node number 7-2	Hefeng 25	Maple Arrow	Root nodule number	Euphytica				Identification of QTL underlying soluble pigment content in soybean stems related to resistance to soybean white mold (Sclerotinia sclerotiorum)
Node number 7-3	Hefeng 25	Maple Arrow	Root nodule number	Euphytica				Identification of QTL underlying soluble pigment content in soybean stems related to resistance to soybean white mold (Sclerotinia sclerotiorum)
Nodule number 1-1	Bossier	Embrapa 20	Root nodule number					Mapping of QTLs associated with biological nitrogen fixation traits in soybean
Nodule number 1-2	Bossier	Embrapa 20	Root nodule number					Mapping of QTLs associated with biological nitrogen fixation traits in soybean
Nodule number 1-3	Bossier	Embrapa 20	Root nodule number					Mapping of QTLs associated with biological nitrogen fixation traits in soybean
Nodule number 2-1	KS4895	Jackson	Root nodule number	Euphytica				Genetics and mapping of quantitative traits for nodule number, weight, and size in soybean (Glycine max L.[Merr.])
Nodule number 2-10	KS4895	Jackson	Root nodule number	Euphytica				Genetics and mapping of quantitative traits for nodule number, weight, and size in soybean (Glycine max L.[Merr.])
Nodule number 2-2	KS4895	Jackson	Root nodule number	Euphytica				Genetics and mapping of quantitative traits for nodule number, weight, and size in soybean (Glycine max L.[Merr.])
Nodule number 2-3	KS4895	Jackson	Root nodule number	Euphytica				Genetics and mapping of quantitative traits for nodule number, weight, and size in soybean (Glycine max L.[Merr.])
Nodule number 2-4	KS4895	Jackson	Root nodule number	Euphytica				Genetics and mapping of quantitative traits for nodule number, weight, and size in soybean (Glycine max L.[Merr.])
Nodule number 2-5	KS4895	Jackson	Root nodule number	Euphytica				Genetics and mapping of quantitative traits for nodule number, weight, and size in soybean (Glycine max L.[Merr.])
Nodule number 2-6	KS4895	Jackson	Root nodule number	Euphytica				Genetics and mapping of quantitative traits for nodule number, weight, and size in soybean (Glycine max L.[Merr.])
Nodule number 2-7	KS4895	Jackson	Root nodule number	Euphytica				Genetics and mapping of quantitative traits for nodule number, weight, and size in soybean (Glycine max L.[Merr.])
Nodule number 2-8	KS4895	Jackson	Root nodule number	Euphytica				Genetics and mapping of quantitative traits for nodule number, weight, and size in soybean (Glycine max L.[Merr.])
Nodule number 2-9	KS4895	Jackson	Root nodule number	Euphytica				Genetics and mapping of quantitative traits for nodule number, weight, and size in soybean (Glycine max L.[Merr.])
Nodule number 3-1	Embrapa 20	BRS133	Root nodule number	Field Crops Research	NULL	NULL	NULL	Identification of quantitative trait loci controlling nodulation and shoot mass in progenies from two Brazilian soybean cultivars
Nodule number 3-2	Embrapa 20	BRS133	Root nodule number	Field Crops Research	NULL	NULL	NULL	Identification of quantitative trait loci controlling nodulation and shoot mass in progenies from two Brazilian soybean cultivars
Nodule number 3-3	Embrapa 20	BRS133	Root nodule number	Field Crops Research	NULL	NULL	NULL	Identification of quantitative trait loci controlling nodulation and shoot mass in progenies from two Brazilian soybean cultivars
Nodule number 3-4	Embrapa 20	BRS133	Root nodule number	Field Crops Research	NULL	NULL	NULL	Identification of quantitative trait loci controlling nodulation and shoot mass in progenies from two Brazilian soybean cultivars
Nodule number 3-5	Embrapa 20	BRS133	Root nodule number	Field Crops Research	NULL	NULL	NULL	Identification of quantitative trait loci controlling nodulation and shoot mass in progenies from two Brazilian soybean cultivars
Nodule number 3-6	Embrapa 20	BRS133	Root nodule number	Field Crops Research	NULL	NULL	NULL	Identification of quantitative trait loci controlling nodulation and shoot mass in progenies from two Brazilian soybean cultivars
Nodule number 3-7	Embrapa 20	BRS133	Root nodule number	Field Crops Research	NULL	NULL	NULL	Identification of quantitative trait loci controlling nodulation and shoot mass in progenies from two Brazilian soybean cultivars
Nodule size 1-1	KS4895	Jackson	Root Nodule Size	Euphytica				Genetics and mapping of quantitative traits for nodule number, weight, and size in soybean (Glycine max L.[Merr.])
Nodule size 1-2	KS4895	Jackson	Root Nodule Size	Euphytica				Genetics and mapping of quantitative traits for nodule number, weight, and size in soybean (Glycine max L.[Merr.])
Nodule size 1-3	KS4895	Jackson	Root Nodule Size	Euphytica				Genetics and mapping of quantitative traits for nodule number, weight, and size in soybean (Glycine max L.[Merr.])
Nodule size 1-4	KS4895	Jackson	Root Nodule Size	Euphytica				Genetics and mapping of quantitative traits for nodule number, weight, and size in soybean (Glycine max L.[Merr.])
Nodule size 1-5	KS4895	Jackson	Root Nodule Size	Euphytica				Genetics and mapping of quantitative traits for nodule number, weight, and size in soybean (Glycine max L.[Merr.])
Nodule size 1-6	KS4895	Jackson	Root Nodule Size	Euphytica				Genetics and mapping of quantitative traits for nodule number, weight, and size in soybean (Glycine max L.[Merr.])
Nodule size 1-7	KS4895	Jackson	Root Nodule Size	Euphytica				Genetics and mapping of quantitative traits for nodule number, weight, and size in soybean (Glycine max L.[Merr.])
Nodule size 1-8	KS4895	Jackson	Root Nodule Size	Euphytica				Genetics and mapping of quantitative traits for nodule number, weight, and size in soybean (Glycine max L.[Merr.])
Nodule weight per plant, dry 1-1	Embrapa 20	BRS133	Root nodule weight, dry	Field Crops Research	NULL	NULL	NULL	Identification of quantitative trait loci controlling nodulation and shoot mass in progenies from two Brazilian soybean cultivars
Nodule weight per plant, dry 1-10	Embrapa 20	BRS133	Root nodule weight, dry	Field Crops Research	NULL	NULL	NULL	Identification of quantitative trait loci controlling nodulation and shoot mass in progenies from two Brazilian soybean cultivars
Nodule weight per plant, dry 1-11	Embrapa 20	BRS133	Root nodule weight, dry	Field Crops Research	NULL	NULL	NULL	Identification of quantitative trait loci controlling nodulation and shoot mass in progenies from two Brazilian soybean cultivars
Nodule weight per plant, dry 1-12	Embrapa 20	BRS133	Root nodule weight, dry	Field Crops Research	NULL	NULL	NULL	Identification of quantitative trait loci controlling nodulation and shoot mass in progenies from two Brazilian soybean cultivars
Nodule weight per plant, dry 1-2	Embrapa 20	BRS133	Root nodule weight, dry	Field Crops Research	NULL	NULL	NULL	Identification of quantitative trait loci controlling nodulation and shoot mass in progenies from two Brazilian soybean cultivars
Nodule weight per plant, dry 1-3	Embrapa 20	BRS133	Root nodule weight, dry	Field Crops Research	NULL	NULL	NULL	Identification of quantitative trait loci controlling nodulation and shoot mass in progenies from two Brazilian soybean cultivars
Nodule weight per plant, dry 1-4	Embrapa 20	BRS133	Root nodule weight, dry	Field Crops Research	NULL	NULL	NULL	Identification of quantitative trait loci controlling nodulation and shoot mass in progenies from two Brazilian soybean cultivars
Nodule weight per plant, dry 1-5	Embrapa 20	BRS133	Root nodule weight, dry	Field Crops Research	NULL	NULL	NULL	Identification of quantitative trait loci controlling nodulation and shoot mass in progenies from two Brazilian soybean cultivars
Nodule weight per plant, dry 1-6	Embrapa 20	BRS133	Root nodule weight, dry	Field Crops Research	NULL	NULL	NULL	Identification of quantitative trait loci controlling nodulation and shoot mass in progenies from two Brazilian soybean cultivars
Nodule weight per plant, dry 1-7	Embrapa 20	BRS133	Root nodule weight, dry	Field Crops Research	NULL	NULL	NULL	Identification of quantitative trait loci controlling nodulation and shoot mass in progenies from two Brazilian soybean cultivars
Nodule weight per plant, dry 1-8	Embrapa 20	BRS133	Root nodule weight, dry	Field Crops Research	NULL	NULL	NULL	Identification of quantitative trait loci controlling nodulation and shoot mass in progenies from two Brazilian soybean cultivars
Nodule weight per plant, dry 1-9	Embrapa 20	BRS133	Root nodule weight, dry	Field Crops Research	NULL	NULL	NULL	Identification of quantitative trait loci controlling nodulation and shoot mass in progenies from two Brazilian soybean cultivars
Nodule weight, dry 1-1	Embrapa 20	BRS133	Root nodule weight, dry	Field Crops Research	NULL	NULL	NULL	Identification of quantitative trait loci controlling nodulation and shoot mass in progenies from two Brazilian soybean cultivars
Nodule weight, dry 1-2	Embrapa 20	BRS133	Root nodule weight, dry	Field Crops Research	NULL	NULL	NULL	Identification of quantitative trait loci controlling nodulation and shoot mass in progenies from two Brazilian soybean cultivars
Nodule weight, dry 1-3	Embrapa 20	BRS133	Root nodule weight, dry	Field Crops Research	NULL	NULL	NULL	Identification of quantitative trait loci controlling nodulation and shoot mass in progenies from two Brazilian soybean cultivars
Peanut root-knot nematode 1-1	PI200538	CNS	Reaction to Meloidogyne arenaria	Theoretical and Applied Genetics	1997	95	664-670	DNA marker analysis of loci conferring resistance to peanut root-knot nematode in soybean
Peanut root-knot nematode 1-1	PI200538	CNS	Reaction to Meloidogyne arenaria	Crop Science	1997	37	1903-1909	RFLP mapping of resistance to southern root-knot nematode in soybean
Peanut root-knot nematode 1-2	PI200538	CNS	Reaction to Meloidogyne arenaria	Theoretical and Applied Genetics	1997	95	664-670	DNA marker analysis of loci conferring resistance to peanut root-knot nematode in soybean
Peanut root-knot nematode 1-2	PI200538	CNS	Reaction to Meloidogyne arenaria	Crop Science	1997	37	1903-1909	RFLP mapping of resistance to southern root-knot nematode in soybean
Peanut root-knot nematode 1-3	PI200538	CNS	Reaction to Meloidogyne arenaria	Theoretical and Applied Genetics	1997	95	664-670	DNA marker analysis of loci conferring resistance to peanut root-knot nematode in soybean
Peanut root-knot nematode 1-3	PI200538	CNS	Reaction to Meloidogyne arenaria	Crop Science	1997	37	1903-1909	RFLP mapping of resistance to southern root-knot nematode in soybean
